johab	ispc_index	cp437	unicode	char	iss_uses	iss_files	note
D480	0		U+1F402	🐂	128	2	HANULSO Logo (an ox head)
D481	1	01	U+263A	☺	218	47	CP437 control-range graphic
D482	2	02	U+263B	☻	218	33	CP437 control-range graphic
D483	3	03	U+2665	♥	439	44	CP437 control-range graphic
D484	4	04	U+2666	♦	27	4	CP437 control-range graphic
D485	5	05	U+2663	♣	6	3	CP437 control-range graphic
D486	6	06	U+2660	♠	0	0	CP437 control-range graphic
D487	7	07	U+2022	•	1026	119	CP437 control-range graphic
D488	8	08	U+25D8	◘	47	7	CP437 control-range graphic
D489	9	09	U+25CB	○	61	9	CP437 control-range graphic
D48A	10	0A	U+25D9	◙	29	5	CP437 control-range graphic
D48B	11	0B	U+2642	♂	3	1	CP437 control-range graphic
D48C	12	0C	U+2640	♀	66	3	CP437 control-range graphic
D48D	13	0D	U+266A	♪	20	7	CP437 control-range graphic
D48E	14	0E	U+266B	♫	50	12	CP437 control-range graphic
D48F	15	0F	U+263C	☼	34	3	CP437 control-range graphic
D490	16	10	U+25BA	►	1880	235	CP437 control-range graphic
D491	17	11	U+25C4	◄	1762	222	CP437 control-range graphic
D492	18	12	U+2195	↕	0	0	CP437 control-range graphic
D493	19	13	U+203C	‼	396	65	CP437 control-range graphic
D494	20	14	U+00B6	¶	0	0	CP437 control-range graphic
D495	21	15	U+00A7	§	0	0	CP437 control-range graphic
D496	22	16	U+25AC	▬	1568	145	CP437 control-range graphic
D497	23	17	U+21A8	↨	0	0	CP437 control-range graphic
D498	24	18	U+2191	↑	51	9	CP437 control-range graphic
D499	25	19	U+2193	↓	51	10	CP437 control-range graphic
D49A	26	1A	U+2192	→	166	17	CP437 control-range graphic
D49B	27	1B	U+2190	←	58	14	CP437 control-range graphic
D49C	28	1C	U+221F	∟	0	0	CP437 control-range graphic
D49D	29	1D	U+2194	↔	2	1	CP437 control-range graphic
D49E	30	1E	U+25B2	▲	33	12	CP437 control-range graphic
D49F	31	1F	U+25BC	▼	29	11	CP437 control-range graphic
D4A0	32		U+03B5		1	1	Greek lowercase epsilon
D4A1	33		U+03B6		7	2	Greek lowercase zeta
D4A2	34		U+03B7		0	0	Greek lowercase eta
D4A3	35		U+03BB		0	0	Greek lowercase lamda
D4A4	36		U+03BD		0	0	Greek lowercase nu
D4A5	37		U+03BE		6	3	Greek lowercase xi
D4A6	38		U+03C1		0	0	Greek lowercase rho
D4A7	39		U+03C8		0	0	Greek lowercase psi
D4A8	40		U+260E	☎	1	1	Telephone
D4A9	41		U+300E	『	28	21	Opening double angle bracket
D4AA	42		U+300F	』	28	21	Closing double angle bracket
D4AB	43		U+2260	≠	0	0	Not equal to
D4AC	44		U+2234	∴	0	0	Therefore
D4AD	45		U+FF3F	＿	22	6	Underscore
D4AE	46		U+300B	》	36	5	Right double angle bracket
D4AF	47		U+300A	《	34	4	Left double angle bracket
D4B0	48	B0	U+2591	░	294	33	CP437
D4B1	49	B1	U+2592	▒	279	36	CP437
D4B2	50	B2	U+2593	▓	335	34	CP437
D4B3	51	B3	U+2502	│	130	16	CP437
